Orf;Name;Desc;"48hr VAN vs 48 hr NO ABX log2FC";"48hr VAN vs 48 hr NO ABX Adj. p-value";"48hr LZD vs 48 hr NO ABX log2FC";"48hr LZD vs 48 hr NO ABX Adj. p-value";"48hr CPT vs 48 hr NO ABX log2FC";"48hr CPT vs 48 hr NO ABX Adj. p-value";"48hr DEL vs 48 hr NO ABX log2FC";"48hr DEL vs 48 hr NO ABX Adj. p-value"
SAUSA300_RS00400;-;YdhK family protein;0.13;1;0.02;1;0.09;1;0.17;1
SAUSA300_RS00405;-;hypothetical protein;-1.3;0.4383;-0.51;0.77889;-0.45;0.91805;-0.36;0.9739
SAUSA300_RS00410;-;hypothetical protein;-1.72;0.21005;-0.56;0.86942;-0.3;1;-0.31;1
SAUSA300_RS00415;-;TIGR04141 family sporadically distributed protein;0.72;0;0.03;1;0.02;1;0.04;1
SAUSA300_RS00420;-;tRNA-dihydrouridine synthase;-0.95;0.7041;-0.64;0.8569;-0.61;0.90823;-0.63;0.75246
SAUSA300_RS00425;-;hypothetical protein;0.72;1;-0.05;1;-0.23;1;0.33;0.91748
SAUSA300_RS00430;-;sulfite exporter TauE/SafE family protein;-0.03;1;-0.39;0.42241;-0.28;0.74561;-0.32;0.60801
SAUSA300_RS00435;cstR;persulfide-sensing transcriptional repressor CstR;0.51;1;-0.42;0.94943;-0.05;1;-0.43;0.93411
SAUSA300_RS00440;cstA;persulfide response sulfurtransferase CstA;0.54;0.7041;0.18;0.90175;0.26;0.90643;0.26;0.65789
SAUSA300_RS00445;cstB;persulfide dioxygenase-sulfurtransferase CstB;0.19;0.99226;-0.06;1;-0.06;1;0.05;1
SAUSA300_RS00455;-;universal stress protein;0.45;1;2.08;0.94689;0.71;0.99761;0.93;1
SAUSA300_RS00460;-;tRNA-dihydrouridine synthase;0.49;0.99946;-0.06;1;-0.02;1;-0.05;1
SAUSA300_RS00465;-;DUF6007 family protein;-0.05;1;0.51;0.8327;0.33;0.99975;0.02;1
SAUSA300_RS00470;-;TfoX/Sxy family protein;1.31;0.7041;0.24;0.97831;-0.08;1;0.37;0.74334
SAUSA300_RS00475;-;MFS transporter;0.32;0.89432;-0.09;0.94689;-0.2;0.5947;-0.17;0.71684
SAUSA300_RS00480;-;flavodoxin family protein;0.48;0.99124;0.19;0.77889;0.18;0.98416;0.19;1
SAUSA300_RS00485;-;LysR family transcriptional regulator;0.43;0.84393;-0.05;1;0.11;1;-0.2;0.88532
SAUSA300_RS00490;-;DUF4865 family protein;0.06;1;-0.11;1;-0.28;0.802;-0.11;1
SAUSA300_RS00495;-;LysR family transcriptional regulator;0.7;0.27675;0.1;0.99426;0.17;0.89681;0.03;1
SAUSA300_RS00500;-;hypothetical protein;0.27;0.89432;-0.13;0.8264;0.06;1;-0.13;0.88532
SAUSA300_RS00505;-;DNA2/NAM7 family helicase;0.06;1;-0.11;0.86942;-0.05;1;-0.06;1
SAUSA300_RS00510;-;hypothetical protein;-0.15;1;0.62;0.10242;0.35;0.54283;0.16;0.97746
SAUSA300_RS00515;-;phosphatidylinositol-specific phospholipase C;0.32;0.97212;0.11;0.95761;-0.1;1;-0.04;1
SAUSA300_RS00520;-;tandem-type lipoprotein;-0.39;0.85259;-0.03;1;0.02;1;-0.2;0.69663
SAUSA300_RS00525;-;tandem-type lipoprotein;0.36;0.85259;-0.08;1;-0.03;1;-0.1;1
SAUSA300_RS00530;-;tandem-type lipoprotein;0.3;0.9575;-0.28;0.8327;-0.44;0.64931;-0.3;0.75246
SAUSA300_RS00535;-;tandem-type lipoprotein;0.43;0.85259;-0.39;0.401;-0.3;0.72322;-0.45;0.35809
SAUSA300_RS00540;-;helix-turn-helix domain-containing protein;0.19;1;-0.07;0.96117;0.1;0.94332;0.06;1
SAUSA300_RS00545;-;M20 family metallopeptidase;0.16;1;-0.15;0.98684;-0.17;0.94983;-0.12;1
SAUSA300_RS00550;-;multidrug efflux MFS transporter NorC;0.12;1;-0.14;0.9686;-0.18;0.94983;-0.21;0.88532
SAUSA300_RS00555;-;Na/Pi cotransporter family protein;-0.09;1;-0.07;1;-0.33;0.54736;-0.09;1
SAUSA300_RS00560;-;oleate hydratase;0.15;1;-0.14;0.90175;-0.29;0.57461;-0.23;0.7329
SAUSA300_RS00565;-;DMT family transporter;-0.14;1;-0.09;1;-0.06;1;0;1
SAUSA300_RS00570;-;PLP-dependent aminotransferase family protein;0.3;0.63928;-0.16;0.63204;-0.18;0.61022;-0.04;1
SAUSA300_RS00575;-;DUF1648 domain-containing protein;0.06;1;-0.34;0.55493;-0.36;0.74561;-0.37;0.59265
SAUSA300_RS00580;-;L-lactate permease;0.29;0.85259;-0.08;1;0.06;1;0.01;1
SAUSA300_RS00585;spa;staphylococcal protein A;-0.11;1;-0.22;0.6838;-0.16;0.93389;-0.22;0.65789
SAUSA300_RS00590;sarS;HTH-type transcriptional regulator SarS;-0.01;1;-0.9;0.00693;-0.86;0.01321;-0.49;0.39954
SAUSA300_RS00595;sirC;staphyloferrin B ABC transporter permease subunit SirC;-0.24;0.99946;-0.42;0.2729;-0.31;0.64931;-0.19;0.76816
SAUSA300_RS00600;sirB;staphyloferrin B ABC transporter permease subunit SirB;0.63;0.69065;0.11;0.99426;0.17;0.98853;0.22;0.78233
SAUSA300_RS00605;sirA;staphyloferrin B ABC transporter substrate-binding protein SirA;0.29;1;0.2;0.92903;0.09;1;-0.11;1
SAUSA300_RS00610;sbnA;2%2C3-diaminopropionate biosynthesis protein SbnA;0.51;0.88771;-0.02;1;0.04;1;0.23;1
SAUSA300_RS00615;sbnB;N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate dehydrogenase SbnB;0.19;1;-0.36;0.5783;-0.51;0.37959;-0.35;0.60801
SAUSA300_RS00620;sbnC;staphyloferrin B biosynthesis protein SbnC;-0.27;0.88771;0.14;0.78619;0.12;0.98022;0.09;1
SAUSA300_RS00625;sbnD;staphyloferrin B export MFS transporter;-0.02;1;-0.01;1;0.09;1;-0.01;1
SAUSA300_RS00630;sbnE;L-2%2C3-diaminopropanoate--citrate ligase SbnE;-0.04;1;0.02;1;-0.1;1;-0.05;1
SAUSA300_RS00635;sbnF;3-(L-alanin-3-ylcarbamoyl)-2-[(2-aminoethylcarbamoyl)methyl]-2-hydroxypropanoate synthase SbnF;-0.12;1;0.14;0.91776;-0.08;1;-0.03;1
SAUSA300_RS00640;sbnG;staphyloferrin B biosynthesis citrate synthase SbnG;0.74;0.67203;-0.22;0.94943;-0.07;1;-0.12;1
SAUSA300_RS00645;sbnH;staphyloferrin B biosynthesis decarboxylase SbnH;-0.82;0.43185;-0.18;0.95324;-0.15;1;-0.37;0.59265
SAUSA300_RS00650;sbnI;bifunctional transcriptional regulator/O-phospho-L-serine synthase SbnI;0.32;0.99226;-0.23;0.77285;0.01;1;0;1
SAUSA300_RS00660;-;hypothetical protein;-0.55;0.99124;-0.15;1;0.13;1;0.23;0.97746
SAUSA300_RS00665;-;MFS transporter;0.07;1;0.01;1;0.1;1;0.02;1
SAUSA300_RS00670;-;(S)-acetoin forming diacetyl reductase;0.67;1;0.34;0.75694;0.38;0.82665;0.2;0.9739
SAUSA300_RS00675;-;hypothetical protein;-0.78;0.62937;-0.22;0.90175;-0.11;1;-0.09;1
SAUSA300_RS00680;-;NAD-dependent epimerase/dehydratase family protein;0.19;1;0.1;0.99283;0.2;0.87315;0.09;1
SAUSA300_RS00685;-;sugar transferase;0.35;0.90275;-0.57;0.14931;-0.27;0.91805;-0.57;0.21319
SAUSA300_RS00690;-;glycosyltransferase family 4 protein;0.22;0.99124;-0.14;0.845;0.06;1;0.02;1
SAUSA300_RS00695;-;O-antigen ligase family protein;0.29;0.67203;-0.24;0.51253;-0.18;0.80514;-0.25;0.49866
SAUSA300_RS00700;-;lipopolysaccharide biosynthesis protein;-0.17;0.99554;-0.2;0.63204;-0.26;0.38412;-0.09;1
SAUSA300_RS00705;-;superoxide dismutase;0.49;0.88771;-0.19;0.98684;0.15;0.9646;0;1
SAUSA300_RS00710;-;hypothetical protein;0.38;0.9575;0.17;0.99426;0.11;1;0.17;1
SAUSA300_RS00715;-;GntR family transcriptional regulator;-0.38;0.84393;-1.68;0;-0.63;0.01914;-0.69;0.02095
SAUSA300_RS00725;deoD;purine-nucleoside phosphorylase;0.14;1;-0.23;0.8264;-0.38;0.72322;-0.29;0.85478
SAUSA300_RS00730;tet(38);tetracycline efflux MFS transporter Tet(38);0.77;0.07465;0;1;-0.04;1;0.08;1
SAUSA300_RS00735;deoC;deoxyribose-phosphate aldolase;1.24;0.38753;0.91;0.02315;0.67;0.51765;0.36;0.83319
SAUSA300_RS00740;deoB;phosphopentomutase;0.48;1;0.4;0.845;1;0.0802;0.55;0.63899
SAUSA300_RS00745;phnE;phosphonate ABC transporter%2C permease protein PhnE;-0.46;0.44369;-0.46;0.14118;-0.48;0.10285;-0.45;0.21319
SAUSA300_RS00750;phnE;phosphonate ABC transporter%2C permease protein PhnE;0.35;0.93212;-0.13;0.97831;-0.04;1;0;1
SAUSA300_RS00755;phnC;phosphonate ABC transporter ATP-binding protein;-0.39;0.8278;0.12;1;0.02;1;0.09;1
SAUSA300_RS00760;-;phosphate/phosphite/phosphonate ABC transporter substrate-binding protein;0.08;1;0.17;0.96117;0;1;0.18;0.93411
SAUSA300_RS00765;-;hypothetical protein;-0.48;0.63928;-0.2;0.74038;-0.06;1;-0.02;1
SAUSA300_RS00770;-;bifunctional metallophosphatase/5'-nucleotidase;0.32;0.77745;0.09;0.94943;0.05;1;0.21;0.59265
SAUSA300_RS00775;-;zinc peptidase;0.37;1;0.03;1;0.29;1;0.45;0.74334
SAUSA300_RS00790;-;hypothetical protein;-0.92;0.19814;-0.41;0.74038;0.1;1;0.06;1
SAUSA300_RS00800;adhE;bifunctional acetaldehyde-CoA/alcohol dehydrogenase;-0.13;1;-0.18;0.8327;-0.21;0.8831;-0.04;1
SAUSA300_RS00805;capA;capsular polysaccharide type 5/8 biosynthesis protein CapA;0.37;0.91262;-0.29;0.66252;-0.29;0.8348;-0.46;0.55447
SAUSA300_RS00810;cap8B;type 8 capsular polysaccharide synthesis protein Cap8B;0.54;0.85259;0.03;1;0.1;0.9968;0.22;0.71684
SAUSA300_RS00815;cap8C;type 8 capsular polysaccharide synthesis protein Cap8C;-0.27;1;-0.32;0.79712;-0.32;0.94332;-0.03;1
SAUSA300_RS00820;cap8D;type 8 capsular polysaccharide synthesis protein Cap8D;0.65;0.3187;0.22;0.63204;0.13;1;0.14;0.82127
SAUSA300_RS00825;cap8E;type 8 capsular polysaccharide synthesis protein Cap8E;-0.82;0.48143;-0.45;0.52664;-0.24;0.94332;-0.31;0.82127
SAUSA300_RS00830;cap8F;type 8 capsular polysaccharide synthesis protein Cap8F;-0.13;1;0.05;1;-0.05;1;0.04;1
SAUSA300_RS00835;cap8G;type 8 capsular polysaccharide synthesis protein Cap8G;0.4;0.9575;0.13;0.95761;-0.06;1;-0.02;1
SAUSA300_RS00840;-;CatB-related O-acetyltransferase;0.21;1;0.08;1;0.31;0.7356;0.13;1
SAUSA300_RS00845;-;glycosyltransferase;0.31;0.87915;-0.17;0.79712;0;1;-0.03;1
SAUSA300_RS00850;-;O-antigen ligase family protein;0.04;1;-0.29;0.37995;-0.12;0.95945;-0.22;0.59265
SAUSA300_RS00855;-;capsular polysaccharide biosynthesis protein;0.43;0.48922;0.06;1;-0.03;1;0;1
SAUSA300_RS00860;cap8L;type 8 capsular polysaccharide synthesis protein Cap8L;0.31;0.87915;0.05;1;-0.16;0.97418;-0.08;1
SAUSA300_RS00865;cap8M;type 8 capsular polysaccharide synthesis protein Cap8M;0.01;1;-0.17;0.93712;-0.1;1;-0.3;0.59265
SAUSA300_RS00870;capN;capsular polysaccharide type 5/8 biosynthesis epimerase CapN;0.03;1;-0.4;0.55493;-0.11;1;-0.12;1
SAUSA300_RS00875;cap8O;type 8 capsular polysaccharide synthesis protein Cap8O;0.44;0.72791;0.03;1;0.08;1;0.05;1
SAUSA300_RS00880;cap8P;type 8 capsular polysaccharide synthesis protein Cap8P;-0.46;0.7041;0.18;0.86447;0.26;0.80514;0.28;0.71684
SAUSA300_RS00885;isdI;staphylobilin-forming heme oxygenase IsdI;-1.36;0.49024;-0.68;0.74038;-0.39;0.99975;0.06;1
SAUSA300_RS00890;-;YbaN family protein;-1.36;0.79858;0;1;-0.28;1;-0.04;1
SAUSA300_RS00895;-;aldehyde dehydrogenase family protein;0.36;0.8632;-0.23;0.81241;0.1;1;-0.21;0.82127
SAUSA300_RS00900;-;cation diffusion facilitator family transporter;0.18;1;-0.38;0.61467;0.18;0.98416;-0.17;1
SAUSA300_RS00905;-;hypothetical protein;1.09;0.81531;0.53;0.52664;0.34;0.87315;0.75;0.27923
SAUSA300_RS00910;-;DUF4242 domain-containing protein;0.23;1;-0.42;0.62465;-0.61;0.23916;-0.41;0.59265
SAUSA300_RS00915;-;ABC transporter ATP-binding protein;-0.15;1;-0.05;1;0.03;1;0.02;1
SAUSA300_RS00920;-;ABC transporter substrate-binding protein;-0.26;1;-0.31;0.77889;-0.61;0.32895;-0.53;0.59265
SAUSA300_RS00925;-;ABC transporter permease;0.95;0.63283;0.19;0.8264;0.4;0.56673;0.39;0.44123
SAUSA300_RS00930;-;acyl-CoA/acyl-ACP dehydrogenase;-0.43;0.88771;0.09;1;0.33;0.49084;0.18;0.93411
SAUSA300_RS00935;-;DUF2294 domain-containing protein;0.36;1;0.3;0.90175;0.09;1;-0.01;1
SAUSA300_RS00940;-;NAD-dependent formate dehydrogenase;-0.04;1;-0.3;0.72823;-0.25;0.87315;-0.07;1
SAUSA300_RS00945;-;MFS transporter;-0.13;1;-0.07;1;-0.14;0.94983;-0.05;1
SAUSA300_RS00950;-;non-ribosomal peptide synthetase;0.34;0.09357;0.01;1;-0.03;1;-0.01;1
SAUSA300_RS00955;-;4'-phosphopantetheinyl transferase superfamily protein;1.06;0.22161;0.47;0.16194;0.24;0.87315;0.21;0.7329
SAUSA300_RS00960;-;YagU family protein;-0.62;0.85259;-1.35;0.10242;-1.08;0.23284;-0.98;0.35809
SAUSA300_RS00965;argB;acetylglutamate kinase;0.51;0.95283;0.09;1;0.14;1;-0.11;1
SAUSA300_RS00970;argJ;bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ;-0.55;0.62937;-0.35;0.59865;-0.08;1;-0.29;0.74492
SAUSA300_RS00975;argC;N-acetyl-gamma-glutamyl-phosphate reductase;0;1;-0.18;0.61467;0.15;0.94332;0;1
SAUSA300_RS00980;rocD;ornithine--oxo-acid transaminase;-0.46;0.89432;-0.11;1;-0.22;0.93389;-0.03;1
SAUSA300_RS00985;brnQ;branched-chain amino acid transport system II carrier protein;0.16;1;0.01;1;0.27;0.50152;-0.01;1
SAUSA300_RS00990;-;isochorismatase family protein;0.59;0.85259;0.43;0.52664;0.38;0.75076;0.23;1
SAUSA300_RS00995;-;alpha-keto acid decarboxylase family protein;0.76;0.22161;0.61;0.01262;0.51;0.19307;0.43;0.31039
SAUSA300_RS01000;-;hypothetical protein;0.16;1;0.06;1;-0.3;1;-0.2;1
SAUSA300_RS01005;ptsG;glucose-specific PTS transporter subunit IIBC;-0.12;1;0.09;0.98684;0.02;1;-0.06;1
SAUSA300_RS01010;-;DUF871 domain-containing protein;0.76;0.69065;-0.35;0.94943;0.02;1;0.31;0.93411
SAUSA300_RS01015;murQ;N-acetylmuramic acid 6-phosphate etherase;1.71;0.64902;0.77;0.35987;1.32;0.02208;1.53;0
SAUSA300_RS01020;-;PTS transporter subunit EIIC;1.03;0.08187;0.13;1;-0.01;1;-0.01;1
SAUSA300_RS01025;-;MurR/RpiR family transcriptional regulator;1.39;0.2406;-0.13;1;0.03;1;0.24;0.97746
SAUSA300_RS01030;-;hypothetical protein;-0.28;1;0.39;0.64282;0.39;0.8831;-0.07;1
SAUSA300_RS01035;-;type I restriction endonuclease subunit R;0.5;0.44369;0.06;1;0.02;1;0.03;1
SAUSA300_RS01040;-;sce7726 family protein;-0.02;1;-0.13;0.99283;-0.07;1;-0.15;1
SAUSA300_RS01045;-;sce7725 family protein;0.23;1;0.06;1;0.12;1;0.14;1
SAUSA300_RS01050;-;RES domain-containing protein;-0.37;0.79858;-0.52;0.15362;-0.35;0.51104;-0.3;0.63899
SAUSA300_RS01055;-;ABC transporter ATP-binding protein;0.45;0.87915;-0.18;0.94689;0.05;1;0;1
SAUSA300_RS01060;-;ABC transporter permease;0.3;0.89432;0.21;0.75694;0.12;0.98416;0.2;0.69663
SAUSA300_RS01065;-;ABC transporter permease;0.14;1;-0.09;1;0.13;0.95945;-0.04;1
SAUSA300_RS01070;-;ABC transporter substrate-binding protein;0.25;0.99124;0.09;1;0;1;-0.07;1
SAUSA300_RS01075;ggt;gamma-glutamyltransferase;0.58;0.27121;0.11;0.8264;0.35;0.08672;0.3;0.20585
SAUSA300_RS01080;-;tandem-type lipoprotein;0.28;1;0.18;0.96117;0.08;1;0.11;1
SAUSA300_RS01085;-;FMN-dependent NADH-azoreductase;0.2;1;-0.18;0.93712;-0.1;1;-0.06;1
SAUSA300_RS01090;-;M23 family metallopeptidase;0.14;1;-0.09;1;-0.06;1;0.14;1
SAUSA300_RS01095;ugpC;sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC;0.26;0.98491;0.08;1;0;1;-0.03;1
SAUSA300_RS01100;-;maltodextrin ABC transporter substrate-binding protein;-0.52;0.81531;0.09;1;0.19;0.90643;-0.05;1
SAUSA300_RS01105;-;sugar ABC transporter permease;0.66;0.44697;0.42;0.16894;0.45;0.20153;0.43;0.24623
SAUSA300_RS01110;-;sugar ABC transporter permease;0.32;0.91856;0.06;1;0.01;1;0;1
SAUSA300_RS01115;-;Gfo/Idh/MocA family oxidoreductase;0.12;1;-0.51;0.66252;-0.4;0.87315;-0.16;1
SAUSA300_RS01120;-;Gfo/Idh/MocA family oxidoreductase;-0.29;1;0.06;1;-0.08;1;-0.24;1
SAUSA300_RS01125;-;sugar phosphate isomerase/epimerase;-0.36;0.9575;-0.35;0.5783;-0.24;0.87299;-0.23;0.78233
SAUSA300_RS01130;-;isoprenylcysteine carboxyl methyltransferase family protein;0.24;0.99226;0.11;0.94943;0.23;0.64931;0.15;0.84379
SAUSA300_RS01135;uhpT;hexose-6-phosphate:phosphate antiporter;-0.41;0.69065;-0.06;1;-0.13;0.97418;-0.27;0.71063
SAUSA300_RS01140;-;response regulator transcription factor;-0.1;1;-0.08;1;0.21;0.94983;-0.18;1
SAUSA300_RS01145;-;sensor histidine kinase;0.14;1;-0.06;1;-0.09;0.9968;-0.06;1
SAUSA300_RS01150;-;ABC transporter substrate-binding protein;0.03;1;0.11;1;0.02;1;0.06;1
SAUSA300_RS01155;pflB;formate C-acetyltransferase;-0.13;1;-0.36;0.46992;-0.21;0.85164;-0.46;0.25374
SAUSA300_RS01160;pflA;pyruvate formate-lyase-activating protein;0.68;0.72791;-0.12;1;0.04;1;-0.3;0.9739
SAUSA300_RS01170;-;glycerophosphoryl diester phosphodiesterase membrane domain-containing protein;0.31;0.8632;0.05;1;0.15;0.91805;-0.24;0.71684
SAUSA300_RS01175;-;complement inhibitor SCIN family protein;-0.07;1;-0.03;1;0.02;1;-0.39;0.59265
SAUSA300_RS01180;coa;staphylocoagulase;0.68;0.3187;0.06;1;0.19;0.82665;0.11;0.95383
SAUSA300_RS01185;-;hypothetical protein;-2.6;0.2406;-1.85;0.28258;-1.34;0.69095;-1.16;0.76816
SAUSA300_RS01195;-;thiolase family protein;0.42;0.91262;0.02;1;-0.18;0.90643;0;1
SAUSA300_RS01200;-;3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase family protein;0.11;1;-0.15;0.91359;-0.1;0.99166;0.04;1
SAUSA300_RS01205;-;acyl-CoA dehydrogenase family protein;-0.19;1;-0.17;0.97452;-0.15;1;-0.15;1
SAUSA300_RS01210;-;acyl--CoA ligase;0.25;0.99124;0.04;1;0.1;0.99975;0.16;0.75246
